title,author,year,doi,url
CTT: Load Test Automation for TOSCA-based Cloud Applications,"D\""{u}llmann, Thomas F. and van Hoorn, Andr\'{e} and Yussupov, Vladimir and Jakovits, Pelle and Adhikari, Mainak",2022,10.1145/3491204.3527484,https://doi.org/10.1145/3491204.3527484
"Call for Papers, Issue 1/2025",Christoph RosenkranzViktoria StrayManuel Wiesche,2023,10.1007/s12599-023-00819-6,http://link.springer.com/article/10.1007/s12599-023-00819-6
Capability Thinking,Kurt SandkuhlJanis Stirna,2018,10.1007/978-3-319-90424-5_1,http://link.springer.com/chapter/10.1007/978-3-319-90424-5_1
Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,Tomas Cerny and Amr S. Abdelfattah and Abdullah Al Maruf and Andrea Janes and Davide Taibi,2023,https://doi.org/10.1016/j.jss.2023.111829,https://www.sciencedirect.com/science/article/pii/S0164121223002248
Causality-based accountability mechanisms for socio-technical systems,Amjad Ibrahim and Stavros Kyriakopoulos and Alexander Pretschner,2021,https://doi.org/10.1016/j.jrt.2021.100016,https://www.sciencedirect.com/science/article/pii/S2666659621000093
CertGraph: Towards a Comprehensive Knowledge Graph for Cloud Security Certifications,"Sch\""{o}berl, Stefan and Banse, Christian and Geist, Verena and Kunz, Immanuel and Pinzger, Martin",2024,10.1145/3652620.3687795,https://doi.org/10.1145/3652620.3687795
Certification of Modern Distributed Systems,Marco AnisettiClaudio Agostino ArdagnaErnesto DamianiNabil El Ioini,2025,10.1007/978-3-031-59724-4_4,http://link.springer.com/chapter/10.1007/978-3-031-59724-4_4
ChainOps for Smart Contract-Based Distributed Applications,Willem-Jan van den HeuvelDamian A. TamburriDamiano D’AmiciFabiano IzzoS. Potten,2021,10.1007/978-3-030-79976-2_25,http://link.springer.com/chapter/10.1007/978-3-030-79976-2_25
Challenges &amp; opportunities in low-code testing,"Khorram, Faezeh and Mottu, Jean-Marie and Suny\'{e}, Gerson",2020,10.1145/3417990.3420204,https://doi.org/10.1145/3417990.3420204
Challenges and Opportunities in Quantum Software Architecture,Tao YueWolfgang MauererShaukat AliDavide Taibi,2023,10.1007/978-3-031-36847-9_1,http://link.springer.com/chapter/10.1007/978-3-031-36847-9_1
Challenges and solutions when adopting DevSecOps: A systematic review,Roshan N. Rajapakse and Mansooreh Zahedi and M. Ali Babar and Haifeng Shen,2022,https://doi.org/10.1016/j.infsof.2021.106700,https://www.sciencedirect.com/science/article/pii/S0950584921001543
Chapter 1 - IT in a World of Continuous Improvement,Charles T. Betz,2011,https://doi.org/10.1016/B978-0-12-385017-1.00001-8,https://www.sciencedirect.com/science/article/pii/B9780123850171000018
Chapter 1 - Network Function Virtualization,Ken Gray and Thomas D. Nadeau,2016,https://doi.org/10.1016/B978-0-12-802119-4.00001-8,https://www.sciencedirect.com/science/article/pii/B9780128021194000018
Chapter 1 - Quality concerns in large-scale and complex software-intensive systems,Bedir Tekinerdogan and Nour Ali and John Grundy and Ivan Mistrik and Richard Soley,2016,https://doi.org/10.1016/B978-0-12-802301-3.00001-6,https://www.sciencedirect.com/science/article/pii/B9780128023013000016
Chapter 13 - Closing the Gap: Fine-Tuning Before Full Deployment,Dennis Nils Drogseth and Rick Sturm and Dan Twing,2015,https://doi.org/10.1016/B978-0-12-801265-9.00013-5,https://www.sciencedirect.com/science/article/pii/B9780128012659000135
Chapter 14 - Model Management and Execution in DEVS Unified Process,José L. Risco-Martín and Saurabh Mittal,2019,https://doi.org/10.1016/B978-0-12-813543-3.00014-7,https://www.sciencedirect.com/science/article/pii/B9780128135433000147
Chapter 15 - Innovations in DCI transport networks,Loukas Paraschis and Kannan Raj,2020,https://doi.org/10.1016/B978-0-12-816502-7.00017-8,https://www.sciencedirect.com/science/article/pii/B9780128165027000178
Chapter 2 - Storage technologies and their data,Alexander Thomasian,2022,https://doi.org/10.1016/B978-0-32-390796-5.00011-5,https://www.sciencedirect.com/science/article/pii/B9780323907965000115
Chapter 3 - Patterns for the IT Processes,Charles T. Betz,2011,https://doi.org/10.1016/B978-0-12-385017-1.00003-1,https://www.sciencedirect.com/science/article/pii/B9780123850171000031
"Chapter 5 - An Architectural Model-Based Approach to Quality-Aware DevOps in Cloud Applicationsc**This work was partially supported by the DFG (German Research Foundation) under the Priority Programme SPP1593: Design For Future – Managed Software Evolution and the MWK (Ministry of Science, Research and the Arts Baden-Württemberg) in the funding line Research Seed Capital (RiSC).",Robert Heinrich and Reiner Jung and Christian Zirkelbach and Wilhelm Hasselbring and Ralf Reussner,2017,https://doi.org/10.1016/B978-0-12-805467-3.00005-3,https://www.sciencedirect.com/science/article/pii/B9780128054673000053
Chapter 5 - Modeling and Simulation: The Essential Tools to Manage the Complexities,Fabienne Salimi and Frederic Salimi,2018,https://doi.org/10.1016/B978-0-12-804213-7.00005-0,https://www.sciencedirect.com/science/article/pii/B9780128042137000050
Chapter 5 - Monitoring model analytics over large repositories with Hawk and MEASURE,Konstantinos Barmpis and Antonio García-Domínguez and Alessandra Bagnato and Antonin Abherve,2020,https://doi.org/10.1016/B978-0-12-816649-9.00014-4,https://www.sciencedirect.com/science/article/pii/B9780128166499000144
Chapter 5 - The NFV Infrastructure Management,Ken Gray and Thomas D. Nadeau,2016,https://doi.org/10.1016/B978-0-12-802119-4.00005-5,https://www.sciencedirect.com/science/article/pii/B9780128021194000055
Chapter Four - Advances in Using Agile and Lean Processes for Software Development,Pilar Rodríguez and Mika Mäntylä and Markku Oivo and Lucy Ellen Lwakatare and Pertti Seppänen and Pasi Kuvaja,2019,https://doi.org/10.1016/bs.adcom.2018.03.014,https://www.sciencedirect.com/science/article/pii/S0065245818300299
Chapter Six - Testing at scale of IoT blockchain applications,Michael A. Walker and Douglas C. Schmidt and Abhishek Dubey,2019,https://doi.org/10.1016/bs.adcom.2019.07.008,https://www.sciencedirect.com/science/article/pii/S0065245819300348
China’s e-Science Blue Book 2023,,2024,10.1007/978-981-99-8270-7,http://link.springer.com/book/10.1007/978-981-99-8270-7
Circular systems engineering,Istvan DavidDominik BorkGerti Kappel,2024,10.1007/s10270-024-01154-4,http://link.springer.com/article/10.1007/s10270-024-01154-4
Citation Recommendation Chatbot for Professional Communities,Alexander Tobias NeumannMichal SlupczynskiYue YinChenyang LiStefan Decker,2023,10.1007/978-3-031-42141-9_4,http://link.springer.com/chapter/10.1007/978-3-031-42141-9_4
Clinical Research Informatics,Rachel L. RichessonJames E. AndrewsKate Fultz Hollis,2023,10.1007/978-3-031-27173-1,http://link.springer.com/book/10.1007/978-3-031-27173-1
Closing the Loop Between Ops and Dev,Weikun WangGiuliano CasaleGabriel Iuhasz,2017,10.1007/978-3-319-46031-4_10,http://link.springer.com/chapter/10.1007/978-3-319-46031-4_10
Cloud Computing,Mohammad R. KhosraviQiang HeProf. Haipeng Dai,2022,10.1007/978-3-030-99191-3,http://link.springer.com/book/10.1007/978-3-030-99191-3
Cloud Computing and Services Science,Maarten van SteenDonald FergusonClaus Pahl,2024,10.1007/978-3-031-68165-3,http://link.springer.com/book/10.1007/978-3-031-68165-3
Cloud Computing and Services Science,Donald FergusonMarkus HelfertClaus Pahl,2022,10.1007/978-3-031-21637-4,http://link.springer.com/book/10.1007/978-3-031-21637-4
Cloud MF: Applying MDE to Tame the Complexity of Managing Multi-cloud Applications,"Ferry, Nicolas and Song, Hui and Rossini, Alessandro and Chauvel, Franck and Solberg, Arnor",2014,10.1109/UCC.2014.36,https://doi.org/10.1109/UCC.2014.36
Cloud Migration High-Level Requirements,Antoine AubéThomas Polacsek,2023,10.1007/978-3-031-33080-3_2,http://link.springer.com/chapter/10.1007/978-3-031-33080-3_2
Cloud Native Architecture and Design,Shivakumar R Goniwada,2022,10.1007/978-1-4842-7226-8,http://link.springer.com/book/10.1007/978-1-4842-7226-8
Cloud Service Offer Selection,Smrati GuptaPeter MatthewsVictor Muntés-MuleroJacek Dominiak,2017,10.1007/978-3-319-46031-4_2,http://link.springer.com/chapter/10.1007/978-3-319-46031-4_2
Cloud resource orchestration in the multi-cloud landscape: a systematic review of existing frameworks,Orazio TomarchioDomenico CalcaterraGiuseppe Di Modica,2020,10.1186/s13677-020-00194-7,http://link.springer.com/article/10.1186/s13677-020-00194-7
Cloud-Based M&S for Cyber-Physical Systems Engineering,José L. Risco MartínSaurabh Mittal,2020,10.1007/978-3-030-51909-4_1,http://link.springer.com/chapter/10.1007/978-3-030-51909-4_1
CloudMF: Model-Driven Management of Multi-Cloud Applications,"Ferry, Nicolas and Chauvel, Franck and Song, Hui and Rossini, Alessandro and Lushpenko, Maksym and Solberg, Arnor",2018,10.1145/3125621,https://doi.org/10.1145/3125621
CloudMap: A Visual Notation for Representing and Managing Cloud Resources,Denis WeerasiriMoshe Chai BarukhBoualem BenatallahCao Jian,2016,10.1007/978-3-319-39696-5_26,http://link.springer.com/chapter/10.1007/978-3-319-39696-5_26
Co-Innovation Platforms,Dr. Tammy L. MadsenDavid Cruickshank,2022,10.1007/978-3-030-75977-3,http://link.springer.com/book/10.1007/978-3-030-75977-3
CoDEvo: Column family database evolution using model transformations,Pablo Suárez-Otero and Michael J. Mior and María José Suárez-Cabal and Javier Tuya,2023,https://doi.org/10.1016/j.jss.2023.111743,https://www.sciencedirect.com/science/article/pii/S0164121223001383
CoDescribe: An Intelligent Code Analyst for Enhancing Productivity and Software Quality,Souvick DasNovarun DebAgostino CortesiNabendu Chaki,2023,10.1007/978-981-99-7783-3_11,http://link.springer.com/chapter/10.1007/978-981-99-7783-3_11
CoMe4ACloud: An end-to-end framework for autonomic Cloud systems,Zakarea Al-Shara and Frederico Alvares and Hugo Bruneliere and Jonathan Lejeune and Charles Prud’Homme and Thomas Ledoux,2018,https://doi.org/10.1016/j.future.2018.03.039,https://www.sciencedirect.com/science/article/pii/S0167739X17320605
CodeMosaic,Arpit Dwivedi,2024,10.1007/979-8-8688-0276-8,http://link.springer.com/book/10.1007/979-8-8688-0276-8
Collaborative Model-Driven Software Engineering — A systematic survey of practices and needs in industry,Istvan David and Kousar Aslam and Ivano Malavolta and Patricia Lago,2023,https://doi.org/10.1016/j.jss.2023.111626,https://www.sciencedirect.com/science/article/pii/S0164121223000213
Collaborative Networks and Digital Transformation,Luis M. Camarinha-MatosHamideh AfsarmaneshDario Antonelli,2019,10.1007/978-3-030-28464-0,http://link.springer.com/book/10.1007/978-3-030-28464-0
Collaborative Networks in Digitalization and Society 5.0,Luis M. Camarinha-MatosAngel OrtizXavier BoucherA. Luís Osório,2022,10.1007/978-3-031-14844-6,http://link.springer.com/book/10.1007/978-3-031-14844-6
Collaborative and teamwork software development in an undergraduate software engineering course,Claudia Raibulet and Francesca {Arcelli Fontana},2018,https://doi.org/10.1016/j.jss.2018.07.010,https://www.sciencedirect.com/science/article/pii/S0164121218301389
Collaborative model-driven software engineering and microservice architecture: a perfect match?,"Sorgalla, Jonas and Rademacher, Florian and Sachweh, Sabine and Z\""{u}ndorf, Albert",2018,10.1145/3234152.3234194,https://doi.org/10.1145/3234152.3234194
Collecting Service-Based Maintainability Metrics from RESTful API Descriptions: Static Analysis and Threshold Derivation,Justus BognerStefan WagnerAlfred Zimmermann,2020,10.1007/978-3-030-59155-7_16,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_16
Commit-time defect prediction using one-class classification,Mohammed A. Shehab and Wael Khreich and Abdelwahab Hamou-Lhadj and Issam Sedki,2024,https://doi.org/10.1016/j.jss.2023.111914,https://www.sciencedirect.com/science/article/pii/S0164121223003096
Communication and Intelligent Systems,Harish SharmaVivek ShrivastavaKusum Kumari BhartiLipo Wang,2023,10.1007/978-981-99-2322-9,http://link.springer.com/book/10.1007/978-981-99-2322-9
"Communication, Smart Technologies and Innovation for Society",Prof. Álvaro RochaProf. Paulo Carlos López-LópezJuan Pablo Salgado-Guerrero,2022,10.1007/978-981-16-4126-8,http://link.springer.com/book/10.1007/978-981-16-4126-8
Comparison of open-source runtime testing tools for microservices,Juan P. SotomayorSai Chaithra AllalaDionny SantiagoTariq M. KingPeter J. Clarke,2023,10.1007/s11219-022-09583-4,http://link.springer.com/article/10.1007/s11219-022-09583-4
Compensation-Based vs. Convergent Deployment Automation for Services Operated in the Cloud,Johannes WettingerUwe BreitenbücherFrank Leymann,2014,10.1007/978-3-662-45391-9_23,http://link.springer.com/chapter/10.1007/978-3-662-45391-9_23
Compiling Personal Data and Subject Categories from App Data Models,Christian BurkertMaximilian BlochbergerHannes Federrath,2021,10.1007/978-3-030-78120-0_16,http://link.springer.com/chapter/10.1007/978-3-030-78120-0_16
Complementor Satisfaction with Boundary Resources in IIoT Ecosystems,Dimitri PetrikGeorg Herzwurm,2020,10.1007/978-3-030-53337-3_26,http://link.springer.com/chapter/10.1007/978-3-030-53337-3_26
Component-based Distributed Software Reconfiguration:A Verification-oriented Survey,"Coullon, H\'{e}l\'{e}ne and Henrio, Ludovic and Loulergue, Fr\'{e}d\'{e}ric and Robillard, Simon",2023,10.1145/3595376,https://doi.org/10.1145/3595376
Composing Model-Based Analysis Tools,Dr. Robert HeinrichProf. Francisco DuránDr. Carolyn TalcottDr. Steffen Zschaler,2021,10.1007/978-3-030-81915-6,http://link.springer.com/book/10.1007/978-3-030-81915-6
Computational Intelligence in Engineering and Project Management,Pedro Yobanis Piñero PérezJanusz KacprzykRafael Bello PérezIliana Pérez Pupo,2024,10.1007/978-3-031-50495-2,http://link.springer.com/book/10.1007/978-3-031-50495-2
Computational Science and Its Applications – ICCSA 2021,Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A. C. RochaEufemia TarantinoProf. Dr. Carmelo Maria Torre,2021,10.1007/978-3-030-87013-3,http://link.springer.com/book/10.1007/978-3-030-87013-3
Computational Science and Its Applications – ICCSA 2022,Prof. Dr. Osvaldo GervasiBeniamino MurganteEligius M. T. HendrixDavid TaniarProf. Bernady O. Apduhan,2022,10.1007/978-3-031-10522-7,http://link.springer.com/book/10.1007/978-3-031-10522-7
Computational Science and Its Applications – ICCSA 2022 Workshops,Prof. Dr. Osvaldo GervasiBeniamino MurganteSanjay MisraAna Maria A. C. RochaDr. Chiara Garau,2022,10.1007/978-3-031-10542-5,http://link.springer.com/book/10.1007/978-3-031-10542-5
Computational and Experimental Simulations in Engineering,Shaofan Li,2024,10.1007/978-3-031-44947-5,http://link.springer.com/book/10.1007/978-3-031-44947-5
"Computer Networks, Big Data and IoT",Dr. A.Pasumpon PandianDr. Xavier FernandoDr. Syed Mohammed Shamsul Islam,2021,10.1007/978-981-16-0965-7,http://link.springer.com/book/10.1007/978-981-16-0965-7
"Computer Safety,  Reliability, and Security. SAFECOMP 2022 Workshops",Mario TrappErwin SchoitschJérémie GuiochetFriedemann Bitsch,2022,10.1007/978-3-031-14862-0,http://link.springer.com/book/10.1007/978-3-031-14862-0
"Computer Safety, Reliability, and Security",Mario TrappFrancesca SagliettiMarc SpisländerFriedemann Bitsch,2022,10.1007/978-3-031-14835-4,http://link.springer.com/book/10.1007/978-3-031-14835-4
"Computer Safety, Reliability, and Security",Alexander RomanovskyElena TroubitsynaDr. Ilir GashiErwin SchoitschFriedemann Bitsch,2019,10.1007/978-3-030-26250-1,http://link.springer.com/book/10.1007/978-3-030-26250-1
"Computer Safety, Reliability, and Security. SAFECOMP 2020 Workshops",António CasimiroFrank OrtmeierErwin SchoitschFriedemann BitschPedro Ferreira,2020,10.1007/978-3-030-55583-2,http://link.springer.com/book/10.1007/978-3-030-55583-2
"Computer Safety, Reliability, and Security. SAFECOMP 2021 Workshops",Ibrahim HabliMark SujanDr. Simos GerasimouErwin SchoitschFriedemann Bitsch,2021,10.1007/978-3-030-83906-2,http://link.springer.com/book/10.1007/978-3-030-83906-2
"Computer Safety, Reliability, and Security. SAFECOMP 2023 Workshops",Jérémie GuiochetStefano TonettaErwin SchoitschMatthieu RoyFriedemann Bitsch,2023,10.1007/978-3-031-40953-0,http://link.springer.com/book/10.1007/978-3-031-40953-0
"Computer Safety, Reliability, and Security. SAFECOMP 2024 Workshops",Andrea CeccarelliMario TrappAndrea BondavalliErwin SchoitschBarbara GallinaFriedemann Bitsch,2024,10.1007/978-3-031-68738-9,http://link.springer.com/book/10.1007/978-3-031-68738-9
Computer Science Curricula 2023,"Kumar, Amruth N. and Raj, Rajendra K. and Aly, Sherif G. and Anderson, Monica D. and Becker, Brett A. and Blumenthal, Richard L. and Eaton, Eric and Epstein, Susan L. and Goldweber, Michael and Jalote, Pankaj and Lea, Douglas and Oudshoorn, Michael and Pias, Marcelo and Reiser, Susan and Servin, Christian and Simha, Rahul and Winters, Titus and Xiang, Qiao",2024,,
Computer Science and Education. Teaching and Curriculum,Wenxing HongGeetha Kanaparan,2024,10.1007/978-981-97-0791-1,http://link.springer.com/book/10.1007/978-981-97-0791-1
Computer Science – CACIC 2021,Dr. Patricia PesadoGustavo Gil,2022,10.1007/978-3-031-05903-2,http://link.springer.com/book/10.1007/978-3-031-05903-2
Computer Science – CACIC 2023,Patricia PesadoWalter PanessiJuan Manuel Fernández,2024,10.1007/978-3-031-62245-8,http://link.springer.com/book/10.1007/978-3-031-62245-8
Computer Security – ESORICS 2022,Vijayalakshmi AtluriRoberto Di PietroChristian D. JensenWeizhi Meng,2022,10.1007/978-3-031-17146-8,http://link.springer.com/book/10.1007/978-3-031-17146-8
Computer Security. ESORICS 2022 International Workshops,Sokratis KatsikasFrédéric CuppensChristos KalloniatisJohn MylopoulosFrank PallasJörg PohleM. Angela SasseHabtamu AbieSilvio RaniseLuca VerderameEnrico CambiasoJorge Maestre VidalMarco Antonio Sotelo MongeMassimiliano AlbaneseBasel KattSandeep PirbhulalAnkur Shukla,2023,10.1007/978-3-031-25460-4,http://link.springer.com/book/10.1007/978-3-031-25460-4
Computer Security. ESORICS 2023 International Workshops,Sokratis KatsikasFrédéric CuppensNora Cuppens-BoulahiaCostas LambrinoudakisJoaquin Garcia-AlfaroGuillermo Navarro-ArribasPantaleone NespoliChristos KalloniatisJohn MylopoulosAnnie AntónStefanos Gritzalis,2024,10.1007/978-3-031-54204-6,http://link.springer.com/book/10.1007/978-3-031-54204-6
Computer Supported Education,Beno CsapóJames Uhomoibhi,2022,10.1007/978-3-031-14756-2,http://link.springer.com/book/10.1007/978-3-031-14756-2
Computer Vision – ECCV 2022,Shai AvidanGabriel BrostowMoustapha CisséGiovanni Maria FarinellaTal Hassner,2022,10.1007/978-3-031-19839-7,http://link.springer.com/book/10.1007/978-3-031-19839-7
"Computing Science, Communication and Security",Nirbhay ChaubeyDr. Sabu M. ThampiNoor Zaman Jhanjhi,2022,10.1007/978-3-031-10551-7,http://link.springer.com/book/10.1007/978-3-031-10551-7
Concept-Centric Software Development: An Experience Report,"Wilczynski, Peter and Gregoire-Wright, Taylor and Jackson, Daniel",2023,10.1145/3622758.3622894,https://doi.org/10.1145/3622758.3622894
Conceptual Modeling,Wolfgang MaassHyoil HanHasan YasarNick Multari,2025,10.1007/978-3-031-75872-0,http://link.springer.com/book/10.1007/978-3-031-75872-0
Conceptual Modeling,João Paulo A. AlmeidaJosé BorbinhaGiancarlo GuizzardiSebastian LinkJelena Zdravkovic,2023,10.1007/978-3-031-47262-6,http://link.springer.com/book/10.1007/978-3-031-47262-6
Conceptual Modeling,Jolita RalytéSharma ChakravarthyMukesh MohaniaManfred A. JeusfeldKamalakar Karlapalem,2022,10.1007/978-3-031-17995-2,http://link.springer.com/book/10.1007/978-3-031-17995-2
Conclusion and Future Research,Arnor SolbergPeter Matthews,2017,10.1007/978-3-319-46031-4_16,http://link.springer.com/chapter/10.1007/978-3-319-46031-4_16
Confessions of an AI Brain,Elena FersmanPaul PetterssonAthanasios Karapantelakis,2023,10.1007/978-3-031-25935-7,http://link.springer.com/book/10.1007/978-3-031-25935-7
Configuration information system architecture: Insights from applied action design research,Asif Qumer Gill and Eng Chew,2019,https://doi.org/10.1016/j.im.2018.09.011,https://www.sciencedirect.com/science/article/pii/S0378720617310091
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models,Apitchaka Singjai and Uwe Zdun,2022,https://doi.org/10.1016/j.jss.2022.111433,https://www.sciencedirect.com/science/article/pii/S0164121222001352
Constraint-Based Behavioral Consistency of Evolving Software Systems,Reiner HähnleBernhard Steffen,2018,10.1007/978-3-319-96562-8_8,http://link.springer.com/chapter/10.1007/978-3-319-96562-8_8
Content,,2017,10.1109/CIMPS.2017.8169961,
Context Driven Software Development,Arunkumar Khannur,2021,10.1007/978-3-030-65796-3_39,http://link.springer.com/chapter/10.1007/978-3-030-65796-3_39
Contextual understanding of microservice architecture: current and future directions,"Cerny, Tomas and Donahoo, Michael J. and Trnka, Michal",2018,10.1145/3183628.3183631,https://doi.org/10.1145/3183628.3183631
Continous deployment of multi-cloud systems,"Ferry, Nicolas and Chauvel, Franck and Song, Hui and Solberg, Arnor",2015,10.1145/2804371.2804377,https://doi.org/10.1145/2804371.2804377
Continuous Alignment Between Software Architecture Design and Development in CI/CD Pipelines,Davide TaibiYuanfang CaiIngo WeberMehdi MirakhorliMichael W. GodfreyJohn T. StoughPatrizio Pelliccione,2023,10.1007/978-3-031-36847-9_4,http://link.springer.com/chapter/10.1007/978-3-031-36847-9_4
Continuous Evaluation of Consistency in Software Architecture Models,Priom BiswasAndreas MorgensternPablo Oliveira AntoninoRafael CapillaElisa Yumi Nakagawa,2023,10.1007/978-3-031-42592-9_10,http://link.springer.com/chapter/10.1007/978-3-031-42592-9_10
Continuous Formal Verification of Microservice-Based Process Flows,Matteo Camilli,2020,10.1007/978-3-030-59155-7_31,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_31
Continuous Integration of Performance Model,"Mazkatli, Manar and Koziolek, Anne",2018,10.1145/3185768.3186285,https://doi.org/10.1145/3185768.3186285
Continuous and Proactive Software Architecture Evaluation: An IoT Case,"Sobhy, Dalia and Minku, Leandro and Bahsoon, Rami and Kazman, Rick",2022,10.1145/3492762,https://doi.org/10.1145/3492762
Continuous validation for data analytics systems,"Staples, Mark and Zhu, Liming and Grundy, John",2016,10.1145/2889160.2889207,https://doi.org/10.1145/2889160.2889207
"Cooperative Design, Visualization, and Engineering",Yuhua Luo,2023,10.1007/978-3-031-43815-8,http://link.springer.com/book/10.1007/978-3-031-43815-8
Coordination Models and Languages,Maurice H. ter BeekMarjan Sirjani,2022,10.1007/978-3-031-08143-9,http://link.springer.com/book/10.1007/978-3-031-08143-9
Coordination Models and Languages,Ferruccio DamianiDr. Ornela Dardha,2021,10.1007/978-3-030-78142-2,http://link.springer.com/book/10.1007/978-3-030-78142-2
Coordination Models and Languages,Ilaria CastellaniFrancesco Tiezzi,2024,10.1007/978-3-031-62697-5,http://link.springer.com/book/10.1007/978-3-031-62697-5
Cost Effective Model for Using Different Cloud Services,Chintalapati Jagadesesh RajuM. Rajasekhara BabuM. NarayanaMoorthy,2020,10.1007/978-981-15-0135-7_30,http://link.springer.com/chapter/10.1007/978-981-15-0135-7_30
Creating Business Applications with Microsoft 365,Jeffrey M. Rhodes,2022,10.1007/978-1-4842-8823-8,http://link.springer.com/book/10.1007/978-1-4842-8823-8
Creating a Self-Service DevOps Platform for Black-Box Testing on Kubernetes,Tomáš GolisPavle Dakić,2024,10.1007/978-981-97-3305-7_28,http://link.springer.com/chapter/10.1007/978-981-97-3305-7_28
Creativity in Intelligent Technologies and Data Science,Prof. Alla G. KravetsMaxim ShcherbakovAssoc. Prof. Danila ParyginProf. Peter P. Groumpos,2021,10.1007/978-3-030-87034-8,http://link.springer.com/book/10.1007/978-3-030-87034-8
Crowdsourcing for Large-Scale Software Development,Wei LiWei-Tek TsaiWenjun Wu,2015,10.1007/978-3-662-47011-4_1,http://link.springer.com/chapter/10.1007/978-3-662-47011-4_1
Current Trends in Web Engineering,Sven CasteleynTommi MikkonenAlberto García SimónIn-Young KoGiuseppe Loseto,2024,10.1007/978-3-031-50385-6,http://link.springer.com/book/10.1007/978-3-031-50385-6
"Current trends in digital twin development, maintenance, and operation: an interview study",Hossain Muhammad MuctadirDavid A. Manrique NegrinRaghavendran GunasekaranLoek CleophasMark van den BrandBoudewijn R. Haverkort,2024,10.1007/s10270-024-01167-z,http://link.springer.com/article/10.1007/s10270-024-01167-z
CyberSecurity in a DevOps Environment,Andrey SadovykhDragos TruscanWissam MallouliAna Rosa CavalliCristina SeceleanuAlessandra Bagnato,2024,10.1007/978-3-031-42212-6,http://link.springer.com/book/10.1007/978-3-031-42212-6
Cybersecurity,Tugrul U DaimMarina Dabić,2023,10.1007/978-3-031-34843-3,http://link.springer.com/book/10.1007/978-3-031-34843-3
DECIDE: An Extended DevOps Framework for Multi-cloud Applications,"Alonso, Juncal and Stefanidis, Kyriakos and Orue-Echevarria, Leire and Blasi, Lorenzo and Walker, Michael and Escalante, Marisa and L\'{o}pez, Mar\'{\i}a Jos\'{e} and Dutkowski, Simon",2019,10.1145/3358505.3358522,https://doi.org/10.1145/3358505.3358522
DICE simulation: a tool for software performance assessment at the design stage,Simona BernardiAbel GómezJosé MerseguerDiego Perez-PalacinJosé I. Requeno,2022,10.1007/s10515-022-00335-z,http://link.springer.com/article/10.1007/s10515-022-00335-z
DICE: quality-driven development of data-intensive cloud applications,"Casale, G. and Ardagna, D. and Artac, M. and Barbier, F. and Nitto, E. Di and Henry, A. and Iuhasz, G. and Joubert, C. and Merseguer, J. and Munteanu, V. I. and P\'{e}rez, J. F. and Petcu, D. and Rossi, M. and Sheridan, C. and Spais, I. and Vladu\v{s}i\v{c}, D.",2015,,
DOML: A New Modelling Approach to Infrastructure-as-Code,Michele ChiariBin XiangGalia Novakova NedeltchevaElisabetta Di NittoLorenzo BlasiDebora BenedettoLaurentiu Niculut,2023,10.1007/978-3-031-34560-9_18,http://link.springer.com/chapter/10.1007/978-3-031-34560-9_18
DOML: A new modeling approach to Infrastructure-as-Code,Michele Chiari and Bin Xiang and Sergio Canzoneri and Galia Novakova Nedeltcheva and Elisabetta {Di Nitto} and Lorenzo Blasi and Debora Benedetto and Laurentiu Niculut and Igor Škof,2024,https://doi.org/10.1016/j.is.2024.102422,https://www.sciencedirect.com/science/article/pii/S0306437924000802
DSLs and Middleware Platforms in a Model-Driven Development Approach for Secure Predictive Maintenance Systems in Smart Factories,Jobish JohnAmrita GhosalTiziana MargariaDirk Pesch,2021,10.1007/978-3-030-89159-6_10,http://link.springer.com/chapter/10.1007/978-3-030-89159-6_10
"Data Analytics and Computational Intelligence: Novel Models, Algorithms and Applications",Gilberto RiveraLaura Cruz-ReyesBernabé DorronsoroAlejandro Rosete,2023,10.1007/978-3-031-38325-0,http://link.springer.com/book/10.1007/978-3-031-38325-0
Data Analytics for Internet of Things Infrastructure,Rohit SharmaGwanggil JeonYan Zhang,2023,10.1007/978-3-031-33808-3,http://link.springer.com/book/10.1007/978-3-031-33808-3
Data Analytics in Action,Gerard SchoutenGiuseppe ArenaFrederique van LeeuwenPetra HeckJoris MulderRick AalbersRoger LeendersFlorian Böing-Messing,2023,10.1007/978-3-031-19554-9_10,http://link.springer.com/chapter/10.1007/978-3-031-19554-9_10
"Data Democratization, Governance, and Security",Anjani KumarAbhishek MishraSanjeev Kumar,2024,10.1007/979-8-8688-0029-0_6,http://link.springer.com/chapter/10.1007/979-8-8688-0029-0_6
"Data Management, Analytics and Innovation",Saptarsi GoswamiInderjit Singh BararaAmol GojeC. MohanAlfred M. Bruckstein,2023,10.1007/978-981-19-2600-6,http://link.springer.com/book/10.1007/978-981-19-2600-6
Data Mining and Big Data,Ying TanYuhui Shi,2024,10.1007/978-981-97-0844-4,http://link.springer.com/book/10.1007/978-981-97-0844-4
