Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Business Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-53337-3","Prof. Witold AbramowiczGary Klein","2020","http://link.springer.com/book/10.1007/978-3-030-53337-3","Book"
"Advanced Information Systems Engineering Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-34985-0","Marcela RuizPnina Soffer","2023","http://link.springer.com/book/10.1007/978-3-031-34985-0","Book"
"Coordination Models and Languages","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78142-2","Ferruccio DamianiDr. Ornela Dardha","2021","http://link.springer.com/book/10.1007/978-3-030-78142-2","Book"
"Evaluation of Novel Approaches to Software Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-030-96648-5","Raian AliProf. Dr. Hermann KaindlProf. Leszek A. Maciaszek","2022","http://link.springer.com/book/10.1007/978-3-030-96648-5","Book"
"The Evolution of Pervasive Information Systems","","","","","10.1007/978-3-031-18176-4","Manuele Kirsch PinheiroCarine SouveyetPhilippe RooseLuiz Angelo Steffenel","2023","http://link.springer.com/book/10.1007/978-3-031-18176-4","Book"
"A Low-Code Development Environment to Orchestrate Model Management Services","Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","","","","10.1007/978-3-030-85874-2_36","Arsene IndamutsaDavide Di RuscioAlfonso Pierantonio","2021","http://link.springer.com/chapter/10.1007/978-3-030-85874-2_36","Chapter"
"Software Sustainability","","","","","10.1007/978-3-030-69970-3","Prof. Coral CaleroDr. Mª Ángeles MoragaProf. Mario Piattini","2021","http://link.springer.com/book/10.1007/978-3-030-69970-3","Book"
"Software Engineering for Games in Serious Contexts","","","","","10.1007/978-3-031-33338-5","Kendra M. L. CooperAntonio Bucchiarone","2023","http://link.springer.com/book/10.1007/978-3-031-33338-5","Book"
"Advanced Software Engineering","Digital Transformation","","","","10.1007/978-3-662-58134-6_21","Ina SchieferdeckerTom Ritter","2019","http://link.springer.com/chapter/10.1007/978-3-662-58134-6_21","Chapter"
"Encyclopedia of Social Network Analysis and Mining","","","","","10.1007/978-1-4939-7131-2","Reda AlhajjJon Rokne","2018","http://link.springer.com/referencework/10.1007/978-1-4939-7131-2","ReferenceWork"
"Proceedings of the 8th International Conference on Advanced Intelligent Systems and Informatics 2022","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-20601-6","Aboul Ella HassanienVáclav SnášelMincong TangTien-Wen SungKuo-Chi Chang","2023","http://link.springer.com/book/10.1007/978-3-031-20601-6","Book"
"Software Engineering and Formal Methods","Lecture Notes in Computer Science","","","","10.1007/978-3-030-30446-1","Peter Csaba ÖlveczkyGwen Salaün","2019","http://link.springer.com/book/10.1007/978-3-030-30446-1","Book"
"Mobile Wireless Middleware, Operating Systems and Applications","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-34497-8","Ruidong LiMin JiaTarik Taleb","2023","http://link.springer.com/book/10.1007/978-3-031-34497-8","Book"
"Proceedings of the Sixth International Scientific Conference “Intelligent Information Technologies for Industry” (IITI’22)","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-19620-1","Sergey KovalevAndrey SukhanovImran AkperovSebnem Ozdemir","2023","http://link.springer.com/book/10.1007/978-3-031-19620-1","Book"
"Foundations","Composing Model-Based Analysis Tools","","","","10.1007/978-3-030-81915-6_2","Carolyn TalcottSofia AnanievaKyungmin BaeBenoit CombemaleRobert HeinrichMark HillsNarges KhakpourRalf ReussnerBernhard RumpePatrizia ScandurraHans VangheluweFrancisco DuránSteffen Zschaler","2021","http://link.springer.com/chapter/10.1007/978-3-030-81915-6_2","Chapter"
"New Perspectives in Software Engineering","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-20322-0","Jezreel MejiaMirna MuñozÁlvaro RochaVíctor Hernández-Nava","2023","http://link.springer.com/book/10.1007/978-3-031-20322-0","Book"
"The Semantic Web: ESWC 2022 Satellite Events","Lecture Notes in Computer Science","","","","10.1007/978-3-031-11609-4","Paul GrothAnisa RulaJodi SchneiderDr. Ilaria TiddiProf. Elena SimperlPanos AlexopoulosRinke HoekstraDr. Mehwish AlamDr. Anastasia DimouMinna Tamper","2022","http://link.springer.com/book/10.1007/978-3-031-11609-4","Book"
"GrapeL: Combining Graph Pattern Matching and Complex Event Processing","Systems Modelling and Management","","","","10.1007/978-3-030-58167-1_13","Sebastian EhmesLars FritscheKonrad Altenhofen","2020","http://link.springer.com/chapter/10.1007/978-3-030-58167-1_13","Chapter"
"Intelligent Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-80119-9","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-80119-9","Book"
"Smart and Sustainable Collaborative Networks 4.0","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85969-5","Prof. Dr. Luis M. Camarinha-MatosProf. Dr. Xavier BoucherProf. Dr. Hamideh Afsarmanesh","2021","http://link.springer.com/book/10.1007/978-3-030-85969-5","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91452-3","Luca ArditoAndreas JedlitschkaDr. Maurizio MorisioProf. Marco Torchiano","2021","http://link.springer.com/book/10.1007/978-3-030-91452-3","Book"
"Data-Centric Artificial Intelligence","Business & Information Systems Engineering","","66","4","10.1007/s12599-024-00857-8","Johannes JakubikMichael VössingNiklas KühlJannis WalkGerhard Satzger","2024","http://link.springer.com/article/10.1007/s12599-024-00857-8","Article"
"BiDaML in Practice: Collaborative Modeling of Big Data Analytics Application Requirements","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-030-70006-5_5","Hourieh KhalajzadehAndrew J. SimmonsTarun VermaMohamed AbdelrazekJohn GrundyJohn HoskingQiang HePrasanna RatnakanthanAdil ZiaMeng Law","2021","http://link.springer.com/chapter/10.1007/978-3-030-70006-5_5","Chapter"
"Model-based fleet deployment in the IoT–edge–cloud continuum","Software and Systems Modeling","","21","5","10.1007/s10270-022-01006-z","Hui SongRustem DautovNicolas FerryArnor SolbergFranck Fleurey","2022","http://link.springer.com/article/10.1007/s10270-022-01006-z","Article"
"ITNG 2023 20th International Conference on Information Technology-New Generations","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-031-28332-1","Shahram Latifi","2023","http://link.springer.com/book/10.1007/978-3-031-28332-1","Book"
"Models@Runtime for Continuous Design and Deployment","Model-Driven Development and Operation of Multi-Cloud Applications","","","","10.1007/978-3-319-46031-4_9","Nicolas FerryArnor Solberg","2017","http://link.springer.com/chapter/10.1007/978-3-319-46031-4_9","Chapter"
"The Digital Journey of Banking and Insurance, Volume III","","","","","10.1007/978-3-030-78821-6","Volker LiermannClaus Stegmann","2021","http://link.springer.com/book/10.1007/978-3-030-78821-6","Book"
"Handbook on Artificial Intelligence-Empowered Applied Software Engineering","Artificial Intelligence-Enhanced Software and Systems Engineering","","","","10.1007/978-3-031-08202-3","Maria VirvouGeorge A. TsihrintzisNikolaos G. BourbakisLakhmi C. Jain","2022","http://link.springer.com/book/10.1007/978-3-031-08202-3","Book"
"Good Practices and New Perspectives in Information Systems and Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-60221-4","Álvaro RochaHojjat AdeliGintautas DzemydaFernando MoreiraAneta Poniszewska-Marańda","2024","http://link.springer.com/book/10.1007/978-3-031-60221-4","Book"
"Enterprise Modeling for Machine Learning: Case-Based Analysis and Initial Framework Proposal","Research Challenges in Information Science: Information Science and the Connected World","","","","10.1007/978-3-031-33080-3_33","Dominik BorkPanagiotis PapapetrouJelena Zdravkovic","2023","http://link.springer.com/chapter/10.1007/978-3-031-33080-3_33","Chapter"
"Software Business","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-91983-2","Xiaofeng WangAntonio MartiniDr. Anh Nguyen-DucDr. Viktoria Stray","2021","http://link.springer.com/book/10.1007/978-3-030-91983-2","Book"
"Computer Safety, Reliability, and Security. SAFECOMP 2020 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-55583-2","António CasimiroFrank OrtmeierErwin SchoitschFriedemann BitschPedro Ferreira","2020","http://link.springer.com/book/10.1007/978-3-030-55583-2","Book"
"Conclusion and Future Research","Model-Driven Development and Operation of Multi-Cloud Applications","","","","10.1007/978-3-319-46031-4_16","Arnor SolbergPeter Matthews","2017","http://link.springer.com/chapter/10.1007/978-3-319-46031-4_16","Chapter"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-030-85521-5","Murat YilmazPaul ClarkeDr. Richard MessnarzProf. Michael Reiner","2021","http://link.springer.com/book/10.1007/978-3-030-85521-5","Book"
"Engineering of Computer-Based Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-49252-5","Jan KofroňTiziana MargariaCristina Seceleanu","2024","http://link.springer.com/book/10.1007/978-3-031-49252-5","Book"
"Service-Oriented Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91431-8","Hakim HacidOdej KaoMassimo MecellaDr. Naouel MohaHye-young Paik","2021","http://link.springer.com/book/10.1007/978-3-030-91431-8","Book"
"Towards Modeling Framework for DevOps: Requirements Derived from Industry Use Case","Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment","","","","10.1007/978-3-030-39306-9_10","Francis BordeleauJordi CabotJuergen DingelBassem S. RabilPatrick Renaud","2020","http://link.springer.com/chapter/10.1007/978-3-030-39306-9_10","Chapter"
"Advances on P2P, Parallel, Grid, Cloud and Internet Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-33509-0","Leonard BarolliPeter HellinckxJuggapong Natwichai","2020","http://link.springer.com/book/10.1007/978-3-030-33509-0","Book"
"Continuous Formal Verification of Microservice-Based Process Flows","Software Architecture","","","","10.1007/978-3-030-59155-7_31","Matteo Camilli","2020","http://link.springer.com/chapter/10.1007/978-3-030-59155-7_31","Chapter"
"An Introduction to Graphical Modeling of CI/CD Workflows with Rig","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-030-89159-6_1","Tim TegelerSebastian TeumertJonas SchürmannAlexander BainczykDaniel BuschBernhard Steffen","2021","http://link.springer.com/chapter/10.1007/978-3-030-89159-6_1","Chapter"
"Towards a Taxonomy of Microservices Architectures","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_15","Martin Garriga","2018","http://link.springer.com/chapter/10.1007/978-3-319-74781-1_15","Chapter"
"Enterprise Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-08965-7","Prof. Dr. Joaquim FilipeMichał ŚmiałekAlexander BrodskySlimane Hammoudi","2022","http://link.springer.com/book/10.1007/978-3-031-08965-7","Book"
"Encyclopedia of Mathematical Geosciences","Encyclopedia of Earth Sciences Series","","","","10.1007/978-3-030-85040-1","B. S. Daya SagarQiuming ChengJennifer McKinleyFrits Agterberg","2023","http://link.springer.com/referencework/10.1007/978-3-030-85040-1","ReferenceWork"
"Information and Communication Technology for Competitive Strategies (ICTCS 2020)","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-0882-7","Dr. M. Shamim KaiserDr. Juanying XieProf. Dr. Vijay Singh Rathore","2021","http://link.springer.com/book/10.1007/978-981-16-0882-7","Book"
"Computer Safety, Reliability, and Security","Lecture Notes in Computer Science","","","","10.1007/978-3-031-14835-4","Mario TrappFrancesca SagliettiMarc SpisländerFriedemann Bitsch","2022","http://link.springer.com/book/10.1007/978-3-031-14835-4","Book"
"Serverless Software Engineering – and How to Get There.","Systems, Software and Services Process Improvement","","","","10.1007/978-3-031-15559-8_6","Stephen McAleeseJordan Conway McLaughlinFilip DetynaAndrey MurashevMurat YilmazPaul M. Clarke","2022","http://link.springer.com/chapter/10.1007/978-3-031-15559-8_6","Chapter"
"Future Networks, Services and Management","","","","","10.1007/978-3-030-81961-3","Dr. Mehmet Toy","2021","http://link.springer.com/book/10.1007/978-3-030-81961-3","Book"
"Quo Vadis modeling?","Software and Systems Modeling","","23","1","10.1007/s10270-023-01128-y","Judith MichaelDominik BorkManuel WimmerHeinrich C. Mayr","2024","http://link.springer.com/article/10.1007/s10270-023-01128-y","Article"
"DevOps Round-Trip Engineering: Traceability from Dev to Ops and Back Again","Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment","","","","10.1007/978-3-030-06019-0_6","Miguel JiménezLorena CastanedaNorha M. VillegasGabriel TamuraHausi A. MüllerJoe Wigglesworth","2019","http://link.springer.com/chapter/10.1007/978-3-030-06019-0_6","Chapter"
"Development methodologies for IoT-based systems: challenges and research directions","Journal of Reliable Intelligent Environments","","10","3","10.1007/s40860-024-00229-9","Miguel J. HornosMario Quinde","2024","http://link.springer.com/article/10.1007/s40860-024-00229-9","Article"
"Developer discussion topics on the adoption and barriers of low code software development platforms","Empirical Software Engineering","","28","1","10.1007/s10664-022-10244-0","Md Abdullah Al AlaminGias UddinSanjay MalakarSadia AfrozTameem HaiderAnindya Iqbal","2022","http://link.springer.com/article/10.1007/s10664-022-10244-0","Article"
"Enterprise Architecture Function","","","","","10.1007/978-3-030-84589-6","Ingo Arnold","2022","http://link.springer.com/book/10.1007/978-3-030-84589-6","Book"
"Service-Oriented Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-031-48421-6","Flavia MontiStefanie Rinderle-MaAntonio Ruiz CortésZibin ZhengMassimo Mecella","2023","http://link.springer.com/book/10.1007/978-3-031-48421-6","Book"
"Business Modeling and Software Design","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-36757-1","Boris Shishkov","2023","http://link.springer.com/book/10.1007/978-3-031-36757-1","Book"
"Data Quality Categories with a First Exploration Towards Agility","Knowledge Management in Organizations","","","","10.1007/978-3-030-81635-3_35","Christian PloderReinhard BernsteinerStephan SchlöglRebecca WeicheltSofia Herfert","2021","http://link.springer.com/chapter/10.1007/978-3-030-81635-3_35","Chapter"
"Proceedings of Seventh International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1610-6","Dr. Xin-She YangDr. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2023","http://link.springer.com/book/10.1007/978-981-19-1610-6","Book"
"A model-based DevOps process for development of mathematical database cost models","Automated Software Engineering","","30","2","10.1007/s10515-023-00390-0","Ahmed ChikhaouiAbdelhafid ChadliAbdelkader Ouared","2023","http://link.springer.com/article/10.1007/s10515-023-00390-0","Article"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-031-15559-8","Murat YilmazPaul ClarkeRichard MessnarzBruno Wöran","2022","http://link.springer.com/book/10.1007/978-3-031-15559-8","Book"
"Software Architecture","Lecture Notes in Computer Science","","","","10.1007/978-3-031-16697-6","Ilias GerostathopoulosGrace LewisThais BatistaTomáš Bureš","2022","http://link.springer.com/book/10.1007/978-3-031-16697-6","Book"
"BPM in the Cloud: The BOC Case","Model-Driven Development and Operation of Multi-Cloud Applications","","","","10.1007/978-3-319-46031-4_13","Alexander GunkaHarald KuehnStepan Seycek","2017","http://link.springer.com/chapter/10.1007/978-3-319-46031-4_13","Chapter"
"Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-95947-0","Prof. Marinos ThemistocleousDr. Maria Papadaki","2022","http://link.springer.com/book/10.1007/978-3-030-95947-0","Book"
"Experimenting with Liveness in Cloud Infrastructure Management","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-030-40223-5_4","Pedro LourençoJoão Pedro DiasAdemar AguiarHugo Sereno FerreiraAndré Restivo","2020","http://link.springer.com/chapter/10.1007/978-3-030-40223-5_4","Chapter"
"Introduction to Security and Quality Improvement in Complex Cyber-Physical Systems Engineering","Security and Quality in Cyber-Physical Systems Engineering","","","","10.1007/978-3-030-25312-7_1","Stefan BifflMatthias EckhartArndt LüderEdgar Weippl","2019","http://link.springer.com/chapter/10.1007/978-3-030-25312-7_1","Chapter"
"Coordination Models and Languages","Lecture Notes in Computer Science","","","","10.1007/978-3-031-62697-5","Ilaria CastellaniFrancesco Tiezzi","2024","http://link.springer.com/book/10.1007/978-3-031-62697-5","Book"
"Generating Custom Learned Cost Model for Query Optimizer of DBMS","Model-Driven Engineering and Software Development","","","","10.1007/978-3-031-66339-0_2","Abdelkader OuaredMoussa AmraniPierre-Yves Schobbens","2024","http://link.springer.com/chapter/10.1007/978-3-031-66339-0_2","Chapter"
"Model for Service License in API Ecosystems","Service-Oriented Computing","","","","10.1007/978-3-662-45391-9_51","Maja VukovicLiangZhao ZengSriram Rajagopal","2014","http://link.springer.com/chapter/10.1007/978-3-662-45391-9_51","Chapter"
"Towards Integrating Data-Driven Requirements Engineering into the Software Development Process: A Vision Paper","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-030-44429-7_10","Xavier FranchNorbert SeyffMarc OriolSamuel FrickerIris GroherMichael VierhauserManuel Wimmer","2020","http://link.springer.com/chapter/10.1007/978-3-030-44429-7_10","Chapter"
"Computer Safety, Reliability, and Security","Lecture Notes in Computer Science","","","","10.1007/978-3-030-26250-1","Alexander RomanovskyElena TroubitsynaDr. Ilir GashiErwin SchoitschFriedemann Bitsch","2019","http://link.springer.com/book/10.1007/978-3-030-26250-1","Book"
"Information Technology and Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-68285-9","Prof. Álvaro RochaProf. Carlos FerrásProf. Paulo Carlos López-LópezProf. Teresa Guarda","2021","http://link.springer.com/book/10.1007/978-3-030-68285-9","Book"
"Proceedings of International Conference on Network Security and Blockchain Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-3182-6","Dr. Debasis GiriDr. Jyotsna Kumar MandalDr. Kouichi SakuraiProf. Dr. Debashis De","2022","http://link.springer.com/book/10.1007/978-981-19-3182-6","Book"
"Report on the State of the SoSyM Journal end of 2022","Software and Systems Modeling","","22","1","10.1007/s10270-023-01085-6","Stéphanie ChallitaBenoit CombemaleHuseyin ErginJeff GrayBernhard RumpeMartin Schindler","2023","http://link.springer.com/article/10.1007/s10270-023-01085-6","Article"
"Collaborative Networks and Digital Transformation","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-28464-0","Luis M. Camarinha-MatosHamideh AfsarmaneshDario Antonelli","2019","http://link.springer.com/book/10.1007/978-3-030-28464-0","Book"
"DevOps: A Definition and Perceived Adoption Impediments","Agile Processes in Software Engineering and Extreme Programming","","","","10.1007/978-3-319-18612-2_14","Jens SmedsKristian NybomIvan Porres","2015","http://link.springer.com/chapter/10.1007/978-3-319-18612-2_14","Chapter"
"Extending reference architecture of big data systems towards machine learning in edge computing environments","Journal of Big Data","","7","1","10.1186/s40537-020-00303-y","P. PääkkönenD. Pakkala","2020","http://link.springer.com/article/10.1186/s40537-020-00303-y","Article"
"Computer Safety, Reliability, and Security. SAFECOMP 2021 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-83906-2","Ibrahim HabliMark SujanDr. Simos GerasimouErwin SchoitschFriedemann Bitsch","2021","http://link.springer.com/book/10.1007/978-3-030-83906-2","Book"
"The Definitive Guide to Azure Data Engineering","","","","","10.1007/978-1-4842-7182-7","Ron C. L'Esteve","2021","http://link.springer.com/book/10.1007/978-1-4842-7182-7","Book"
"Data Science and Intelligent Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-90321-3","Dr. Radek SilhavyProf. Petr SilhavyProf. Zdenka Prokopova","2021","http://link.springer.com/book/10.1007/978-3-030-90321-3","Book"
"Frontiers in Software Engineering Education","Lecture Notes in Computer Science","","","","10.1007/978-3-031-48639-5","Alfredo CapozuccaSophie EbersoldJean-Michel BruelBertrand Meyer","2023","http://link.springer.com/book/10.1007/978-3-031-48639-5","Book"
"Knowledge Management in Organizations","Communications in Computer and Information Science","","","","10.1007/978-3-030-81635-3","Lorna UdenDr. I-Hsien TingKai Wang","2021","http://link.springer.com/book/10.1007/978-3-030-81635-3","Book"
"Innovation Through Information Systems","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-030-86800-0","Prof. Dr. Frederik AhlemannProf. Dr. Reinhard SchütteProf. Dr. Stefan Stieglitz","2021","http://link.springer.com/book/10.1007/978-3-030-86800-0","Book"
"Good Practices and New Perspectives in Information Systems and Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-60227-6","Álvaro RochaHojjat AdeliGintautas DzemydaFernando MoreiraAneta Poniszewska-Marańda","2024","http://link.springer.com/book/10.1007/978-3-031-60227-6","Book"
"Quality of Information and Communications Technology","Communications in Computer and Information Science","","","","10.1007/978-3-031-14179-9","Antonio VallecilloJoost VisserRicardo Pérez-Castillo","2022","http://link.springer.com/book/10.1007/978-3-031-14179-9","Book"
"Computer Safety,  Reliability, and Security. SAFECOMP 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-14862-0","Mario TrappErwin SchoitschJérémie GuiochetFriedemann Bitsch","2022","http://link.springer.com/book/10.1007/978-3-031-14862-0","Book"
"Foundations for MLOps Systems","MLOps Lifecycle Toolkit","","","","10.1007/978-1-4842-9642-4_2","Dayne Sorvisto","2023","http://link.springer.com/chapter/10.1007/978-1-4842-9642-4_2","Chapter"
"Traceable Multi-view Model Integration: A Transformation Pipeline for Agile Production Systems Engineering","SN Computer Science","","4","2","10.1007/s42979-022-01572-5","Felix RinkerLaura WaltersdorferKristof MeixnerDietmar WinklerArndt LüderStefan Biffl","2023","http://link.springer.com/article/10.1007/s42979-022-01572-5","Article"
"Cloud resource orchestration in the multi-cloud landscape: a systematic review of existing frameworks","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00194-7","Orazio TomarchioDomenico CalcaterraGiuseppe Di Modica","2020","http://link.springer.com/article/10.1186/s13677-020-00194-7","Article"
"Software Architecture: Past, Present, Future","The Essence of Software Engineering","","","","10.1007/978-3-319-73897-0_10","Wilhelm Hasselbring","2018","http://link.springer.com/chapter/10.1007/978-3-319-73897-0_10","Chapter"
"Quantum Software","","","","","10.1007/978-3-031-64136-7","Iaakov ExmanRicardo Pérez-CastilloMario PiattiniMichael Felderer","2024","http://link.springer.com/book/10.1007/978-3-031-64136-7","Book"
"Guest editorial for the special section on MODELS 2020","Software and Systems Modeling","","21","5","10.1007/s10270-022-01044-7","Silvia AbrahãoJuan de LaraHouari SahraouiEugene Syriani","2022","http://link.springer.com/article/10.1007/s10270-022-01044-7","Article"
"DevOps and Quality Management in Serverless Computing: The RADON Approach","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-71906-7_13","Stefano Dalla PalmaMartin GarrigaDario Di NucciDamian Andrew TamburriWillem-Jan Van Den Heuvel","2021","http://link.springer.com/chapter/10.1007/978-3-030-71906-7_13","Chapter"
"Specification of cloud topologies and orchestration using TOSCA: a survey","Computing","","102","8","10.1007/s00607-019-00750-3","Julian BellendorfZoltán Ádám Mann","2020","http://link.springer.com/article/10.1007/s00607-019-00750-3","Article"
"Toward Sustainable Smart Mobility Information Infrastructure Platform: Project Overview","New Trends in E-service and Smart Computing","","","","10.1007/978-3-319-70636-8_3","Akira FukudaKenji HisazumiTsunenori MineShigemi IshidaTakahiro AndoShota IshibashiShigeaki TagashiraKunihiko KanekoYutaka ArakawaWeiqiang KongGuoqiang Li","2018","http://link.springer.com/chapter/10.1007/978-3-319-70636-8_3","Chapter"
"Aligned, Purpose-Driven Cooperation: The Future Way of System Development","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-030-89159-6_27","Philip ZweihoffTim TegelerJonas SchürmannAlexander BainczykBernhard Steffen","2021","http://link.springer.com/chapter/10.1007/978-3-030-89159-6_27","Chapter"
"Automation of the Incremental Integration of Microservices Architectures","Complexity in Information Systems Development","","","","10.1007/978-3-319-52593-8_4","Miguel Zúñiga-PrietoEmilio InsfranSilvia AbrahãoCarlos Cano-Genoves","2017","http://link.springer.com/chapter/10.1007/978-3-319-52593-8_4","Chapter"
"Digital Enterprises","The Enterprise Engineering Series","","","","10.1007/978-3-031-30214-5","Henderik A. ProperBas van GilsKazem Haki","2023","http://link.springer.com/book/10.1007/978-3-031-30214-5","Book"
"Intelligent Systems and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-66329-1","Kohei Arai","2024","http://link.springer.com/book/10.1007/978-3-031-66329-1","Book"
"Model-based intelligent user interface adaptation: challenges and future directions","Software and Systems Modeling","","20","5","10.1007/s10270-021-00909-7","Silvia AbrahãoEmilio InsfranArthur SluÿtersJean Vanderdonckt","2021","http://link.springer.com/article/10.1007/s10270-021-00909-7","Article"
"The cloud application modelling and execution language","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0138-7","Achilleas P. AchilleosKyriakos KritikosAlessandro RossiniGeorgia M. KapitsakiJörg DomaschkaMichal OrzechowskiDaniel SeyboldFrank GriesingerNikolay NikolovDaniel RomeroGeorge A. Papadopoulos","2019","http://link.springer.com/article/10.1186/s13677-019-0138-7","Article"
"Intelligent Systems Design and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96308-8","Dr. Ajith AbrahamDr. Niketa GandhiDr. Thomas HanneDr. Tzung-Pei HongDr. Tatiane Nogueira RiosDr. Weiping Ding","2022","http://link.springer.com/book/10.1007/978-3-030-96308-8","Book"
"Enterprise Cloud Native Software Engineering","Cloud Native Architecture and Design","","","","10.1007/978-1-4842-7226-8_13","Shivakumar R Goniwada","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7226-8_13","Chapter"
"Springer Handbook of Internet of Things","Springer Handbooks","","","","10.1007/978-3-031-39650-2","Sébastien ZieglerRenáta RadóczAdrian Quesada RodriguezSara Nieves Matheu Garcia","2024","http://link.springer.com/book/10.1007/978-3-031-39650-2","Book"
"Systems, Software and Services Process Improvement","Communications in Computer and Information Science","","","","10.1007/978-3-319-97925-0","Xabier LarruceaIzaskun SantamariaProf. Dr. Rory V. O'ConnorRichard Messnarz","2018","http://link.springer.com/book/10.1007/978-3-319-97925-0","Book"
"Betrieb von Modellen (MLOps)","Informationsgesteuertes maschinelles Lernen","","","","10.1007/978-3-031-56274-7_13","Gerald Friedland","2024","http://link.springer.com/chapter/10.1007/978-3-031-56274-7_13","Chapter"
"Verifying big data topologies by-design: a semi-automated approach","Journal of Big Data","","6","1","10.1186/s40537-019-0199-y","Marcello M. BersaniFrancesco MarconiDamian A. TamburriAndrea NodariPooyan Jamshidi","2019","http://link.springer.com/article/10.1186/s40537-019-0199-y","Article"
"The Proceedings of the 2024 Conference on Systems Engineering Research","Conference on Systems Engineering Research Series","","","","10.1007/978-3-031-62554-1","Alejandro SaladoRicardo ValerdiRick SteinerLarry Head","2024","http://link.springer.com/book/10.1007/978-3-031-62554-1","Book"
"Euro-Par 2021: Parallel Processing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85665-6","Prof. Leonel SousaNuno RomaProf. Pedro Tomás","2021","http://link.springer.com/book/10.1007/978-3-030-85665-6","Book"
"Proceedings of Eighth International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-3091-3","Xin-She YangR. Simon SherrattNilanjan DeyAmit Joshi","2023","http://link.springer.com/book/10.1007/978-981-99-3091-3","Book"
"Advances in Software Engineering, Education, and e-Learning","Transactions on Computational Science and Computational Intelligence","","","","10.1007/978-3-030-70873-3","Prof. Hamid R. ArabniaLeonidas DeligiannidisFernando G. TinettiQuoc-Nam Tran","2021","http://link.springer.com/book/10.1007/978-3-030-70873-3","Book"
"Evaluation of Graphical Modeling of CI/CD Workflows with Rig","Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering","","","","10.1007/978-3-031-19756-7_21","Sebastian TeumertTim TegelerJonas SchürmannDaniel BuschDominic Wirkner","2022","http://link.springer.com/chapter/10.1007/978-3-031-19756-7_21","Chapter"
